stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
3973,48019016,EITUA INDUSTRIALDEA (ESTAMPADOS) (3973),,43.1671559652326,-2.58505101144525,4,,0,,Europe/Madrid,0,0,
3974,48019017,EITUA INDUSTRIALDEA (PASTOR GORBEA) (3974),,43.1673264821395,-2.59240651026889,4,,0,,Europe/Madrid,0,0,
3975,48019015,EITUA INDUSTRIALDEA (ESTAMPADOS) (3975),,43.16699388261,-2.58505210856925,4,,0,,Europe/Madrid,0,0,
3976,48019014,EITUA INDUSTRIALDEA (PASTOR GORBEA) (3976),,43.1671731410017,-2.59233371743918,4,,0,,Europe/Madrid,0,0,
3977,48001002,LEBARIO (3977),,43.1657175318103,-2.59832205885459,4,,0,,Europe/Madrid,0,0,
3978,48001025,LEBARIO (3978),,43.1654875110694,-2.60467125742707,4,,0,,Europe/Madrid,0,0,
3979,20030006,POL. OTAOLA (OTAOLA) (3979),,43.1816665171067,-2.48280392019798,5,,0,,Europe/Madrid,1,0,
3984,48075029,TORREZAR (HARROBIA/CANTERA) (3984),,43.1261690955604,-2.91691609130586,4,,0,,Europe/Madrid,0,0,
3985,48075028,TORREZAR (HARROBIA/CANTERA) (3985),,43.1262148474999,-2.91792412704618,4,,0,,Europe/Madrid,0,0,
3988,01036032,GURUTZ GORRIA/CRUZ ROJA (3988),,43.1386482744437,-2.9670805395609,4,,0,,Europe/Madrid,1,0,
3989,01036006,GURUTZ GORRIA/CRUZ ROJA (3989),,43.1387113508912,-2.96722806225775,4,,0,,Europe/Madrid,1,0,
3990,01036021,ZUMALAKARREGI (EGOITZA/RESIDENCIA) (3990),,43.1402776883314,-2.96549339217019,4,,0,,Europe/Madrid,0,0,
3991,01036005,ZUMALAKARREGI (EGOITZA/RESIDENCIA) (3991),,43.1403497790576,-2.96566550551654,4,,0,,Europe/Madrid,0,0,
3992,01036022,UDALETXEA/AYUNTAMIENTO (3992),,43.1436161503823,-2.96234548078027,4,,0,,Europe/Madrid,1,0,
3993,01036004,UDALETXEA/AYUNTAMIENTO (3993),,43.1437152603887,-2.9625175832831,4,,0,,Europe/Madrid,0,0,
